--2024-03-27 20:05:03--  http://ftp.ru.debian.org/debian/indices/md5sums.gz
Resolving ftp.ru.debian.org (ftp.ru.debian.org)... 85.143.112.112
Connecting to ftp.ru.debian.org (ftp.ru.debian.org)|85.143.112.112|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 46913140 (45M) [application/octet-stream]
Saving to: ‘Dump/md5sums.gz’

     0K .......... .......... .......... .......... ..........  0%  431K 1m46s
    50K .......... .......... .......... .......... ..........  0%  934K 78s
   100K .......... .......... .......... .......... ..........  0% 52.9M 52s
   150K .......... .......... .......... .......... ..........  0% 96.0M 39s
   200K .......... .......... .......... .......... ..........  0%  981K 40s
   250K .......... .......... .......... .......... ..........  0% 73.8M 34s
   300K .......... .......... .......... .......... ..........  0% 98.8M 29s
   350K .......... .......... .......... .......... ..........  0%  970K 31s
   400K .......... .......... .......... .......... ..........  0% 98.6M 28s
   450K .......... .......... .......... .......... ..........  1%  137M 25s
   500K .......... .......... .......... .......... ..........  1%  139M 23s
   550K .......... .......... .......... .......... ..........  1% 97.1M 21s
   600K .......... .......... .......... .......... ..........  1% 85.3M 19s
   650K .......... .......... .......... .......... ..........  1%  175M 18s
   700K .......... .......... .......... .......... ..........  1% 1015K 20s
   750K .......... .......... .......... .......... ..........  1%  105M 18s
   800K .......... .......... .......... .......... ..........  1%  116M 17s
   850K .......... .......... .......... .......... ..........  1%  117M 16s
   900K .......... .......... .......... .......... ..........  2% 52.4M 16s
   950K .......... .......... .......... .......... ..........  2%  136M 15s
  1000K .......... .......... .......... .......... ..........  2%  116M 14s
  1050K .......... .......... .......... .......... ..........  2%  110M 13s
  1100K .......... .......... .......... .......... ..........  2%  145M 13s
  1150K .......... .......... .......... .......... ..........  2%  136M 12s
  1200K .......... .......... .......... .......... ..........  2%  141M 12s
  1250K .......... .......... .......... .......... ..........  2%  110M 11s
  1300K .......... .......... .......... .......... ..........  2%  109M 11s
  1350K .......... .......... .......... .......... ..........  3%  126M 11s
  1400K .......... .......... .......... .......... ..........  3%  118M 10s
  1450K .......... .......... .......... .......... ..........  3% 1.06M 11s
  1500K .......... .......... .......... .......... ..........  3%  109M 11s
  1550K .......... .......... .......... .......... ..........  3%  128M 10s
  1600K .......... .......... .......... .......... ..........  3%  112M 10s
  1650K .......... .......... .......... .......... ..........  3%  109M 10s
  1700K .......... .......... .......... .......... ..........  3%  117M 10s
  1750K .......... .......... .......... .......... ..........  3%  115M 9s
  1800K .......... .......... .......... .......... ..........  4% 83.5M 9s
  1850K .......... .......... .......... .......... ..........  4%  143M 9s
  1900K .......... .......... .......... .......... ..........  4%  102M 9s
  1950K .......... .......... .......... .......... ..........  4%  108M 8s
  2000K .......... .......... .......... .......... ..........  4%  117M 8s
  2050K .......... .......... .......... .......... ..........  4%  104M 8s
  2100K .......... .......... .......... .......... ..........  4%  132M 8s
  2150K .......... .......... .......... .......... ..........  4%  132M 8s
  2200K .......... .......... .......... .......... ..........  4% 87.5M 7s
  2250K .......... .......... .......... .......... ..........  5%  129M 7s
  2300K .......... .......... .......... .......... ..........  5%  109M 7s
  2350K .......... .......... .......... .......... ..........  5%  142M 7s
  2400K .......... .......... .......... .......... ..........  5% 97.4M 7s
  2450K .......... .......... .......... .......... ..........  5%  120M 7s
  2500K .......... .......... .......... .......... ..........  5%  113M 7s
  2550K .......... .......... .......... .......... ..........  5% 95.8M 6s
  2600K .......... .......... .......... .......... ..........  5%  114M 6s
  2650K .......... .......... .......... .......... ..........  5%  119M 6s
  2700K .......... .......... .......... .......... ..........  6%  115M 6s
  2750K .......... .......... .......... .......... ..........  6%  113M 6s
  2800K .......... .......... .......... .......... ..........  6%  107M 6s
  2850K .......... .......... .......... .......... ..........  6%  110M 6s
  2900K .......... .......... .......... .......... ..........  6% 1.22M 6s
  2950K .......... .......... .......... .......... ..........  6% 98.0M 6s
  3000K .......... .......... .......... .......... ..........  6%  117M 6s
  3050K .......... .......... .......... .......... ..........  6%  111M 6s
  3100K .......... .......... .......... .......... ..........  6%  142M 6s
  3150K .......... .......... .......... .......... ..........  6% 32.9M 6s
  3200K .......... .......... .......... .......... ..........  7% 76.9M 6s
  3250K .......... .......... .......... .......... ..........  7%  116M 6s
  3300K .......... .......... .......... .......... ..........  7%  150M 6s
  3350K .......... .......... .......... .......... ..........  7% 96.3M 5s
  3400K .......... .......... .......... .......... ..........  7% 72.9M 5s
  3450K .......... .......... .......... .......... ..........  7%  289M 5s
  3500K .......... .......... .......... .......... ..........  7%  151M 5s
  3550K .......... .......... .......... .......... ..........  7%  100M 5s
  3600K .......... .......... .......... .......... ..........  7%  100M 5s
  3650K .......... .......... .......... .......... ..........  8%  143M 5s
  3700K .......... .......... .......... .......... ..........  8%  159M 5s
  3750K .......... .......... .......... .......... ..........  8%  163M 5s
