--2024-03-28 02:05:03--  http://ftp.ru.debian.org/debian/indices/md5sums.gz
Resolving ftp.ru.debian.org (ftp.ru.debian.org)... 85.143.112.112
Connecting to ftp.ru.debian.org (ftp.ru.debian.org)|85.143.112.112|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 46920054 (45M) [application/octet-stream]
Saving to: ‘Dump/md5sums.gz’

     0K .......... .......... .......... .......... ..........  0%  464K 99s
    50K .......... .......... .......... .......... ..........  0% 1012K 72s
   100K .......... .......... .......... .......... ..........  0%  125M 48s
   150K .......... .......... .......... .......... ..........  0%  130M 36s
   200K .......... .......... .......... .......... ..........  0% 1.01M 38s
   250K .......... .......... .......... .......... ..........  0% 43.9M 31s
   300K .......... .......... .......... .......... ..........  0% 94.6M 27s
   350K .......... .......... .......... .......... ..........  0% 95.6M 24s
   400K .......... .......... .......... .......... ..........  0% 1.04M 26s
   450K .......... .......... .......... .......... ..........  1% 22.5M 23s
   500K .......... .......... .......... .......... ..........  1% 37.6M 21s
   550K .......... .......... .......... .......... ..........  1% 7.78M 20s
   600K .......... .......... .......... .......... ..........  1% 13.3M 19s
   650K .......... .......... .......... .......... ..........  1% 19.5M 17s
   700K .......... .......... .......... .......... ..........  1% 25.3M 16s
   750K .......... .......... .......... .......... ..........  1% 26.2M 15s
   800K .......... .......... .......... .......... ..........  1% 1.85M 16s
   850K .......... .......... .......... .......... ..........  1% 92.7M 15s
   900K .......... .......... .......... .......... ..........  2% 75.0M 14s
   950K .......... .......... .......... .......... ..........  2% 91.8M 14s
  1000K .......... .......... .......... .......... ..........  2%  115M 13s
  1050K .......... .......... .......... .......... ..........  2%  100M 12s
  1100K .......... .......... .......... .......... ..........  2%  137M 12s
  1150K .......... .......... .......... .......... ..........  2%  113M 11s
  1200K .......... .......... .......... .......... ..........  2%  116M 11s
  1250K .......... .......... .......... .......... ..........  2%  110M 10s
  1300K .......... .......... .......... .......... ..........  2%  109M 10s
  1350K .......... .......... .......... .......... ..........  3%  101M 10s
  1400K .......... .......... .......... .......... ..........  3%  130M 9s
  1450K .......... .......... .......... .......... ..........  3%  115M 9s
  1500K .......... .......... .......... .......... ..........  3%  105M 9s
  1550K .......... .......... .......... .......... ..........  3%  104M 9s
  1600K .......... .......... .......... .......... ..........  3%  126M 8s
  1650K .......... .......... .......... .......... ..........  3%  104M 8s
  1700K .......... .......... .......... .......... ..........  3% 1.20M 9s
  1750K .......... .......... .......... .......... ..........  3%  104M 9s
  1800K .......... .......... .......... .......... ..........  4%  105M 8s
  1850K .......... .......... .......... .......... ..........  4%  114M 8s
  1900K .......... .......... .......... .......... ..........  4%  115M 8s
  1950K .......... .......... .......... .......... ..........  4% 17.0M 8s
  2000K .......... .......... .......... .......... ..........  4% 28.1M 8s
  2050K .......... .......... .......... .......... ..........  4% 27.8M 7s
  2100K .......... .......... .......... .......... ..........  4% 75.4M 7s
  2150K .......... .......... .......... .......... ..........  4%  116M 7s
  2200K .......... .......... .......... .......... ..........  4%  131M 7s
  2250K .......... .......... .......... .......... ..........  5%  139M 7s
  2300K .......... .......... .......... .......... ..........  5%  134M 7s
  2350K .......... .......... .......... .......... ..........  5%  111M 7s
  2400K .......... .......... .......... .......... ..........  5%  130M 6s
  2450K .......... .......... .......... .......... ..........  5%  130M 6s
  2500K .......... .......... .......... .......... ..........  5%  129M 6s
  2550K .......... .......... .......... .......... ..........  5%  118M 6s
  2600K .......... .......... .......... .......... ..........  5%  129M 6s
  2650K .......... .......... .......... .......... ..........  5%  127M 6s
  2700K .......... .......... .......... .......... ..........  6%  142M 6s
  2750K .......... .......... .......... .......... ..........  6%  105M 6s
  2800K .......... .......... .......... .......... ..........  6%  130M 5s
  2850K .......... .......... .......... .......... ..........  6%  127M 5s
  2900K .......... .......... .......... .......... ..........  6%  139M 5s
  2950K .......... .......... .......... .......... ..........  6%  138M 5s
  3000K .......... .......... .......... .......... ..........  6%  156M 5s
  3050K .......... .......... .......... .......... ..........  6%  158M 5s
  3100K .......... .......... .......... .......... ..........  6%  165M 5s
  3150K .......... .......... .......... .......... ..........  6%  133M 5s
  3200K .......... .......... .......... .......... ..........  7%  166M 5s
  3250K .......... .......... .......... .......... ..........  7%  159M 5s
  3300K .......... .......... .......... .......... ..........  7%  163M 5s
  3350K .......... .......... .......... .......... ..........  7%  140M 5s
  3400K .......... .......... .......... .......... ..........  7% 1.62M 5s
  3450K .......... .......... .......... .......... ..........  7%  123M 5s
  3500K .......... .......... .......... .......... ..........  7%  123M 5s
  3550K .......... .......... .......... .......... ..........  7%  101M 5s
  3600K .......... .......... .......... .......... ..........  7%  134M 5s
  3650K .......... .......... .......... .......... ..........  8%  110M 5s
  3700K .......... .......... .......... .......... ..........  8%  102M 4s
  3750K .......... .......... .......... .......... ..........  8%  106M 4s
  3800K .......... .......... .......... .......... ..........  8%  127M 4s
  3850K .......... .......... .......... .......... ..........  8%  115M 4s
  3900K .......... .......... .......... .......... ..........  8% 98.6M 4s
  3950K .......... .......... .......... .......... ..........  8%  113M 4s
  4000K .......... .......... .......... .......... ..........  8%  124M 4s
  4050K .......... .......... .......... .......... ..........  8%  105M 4s
  4100K .......... .......... .......... .......... ..........  9% 88.4M 4s
  4150K .......... .......... .......... .......... ..........  9%  124M 4s
  4200K .......... .......... .......... .......... ..........  9%  129M 4s
  4250K .......... .......... .......... .......... ..........  9%  103M 4s
  4300K .......... .......... .......... .......... ..........  9%  120M 4s
  4350K .......... .......... .......... .......... ..........  9%  112M 4s
  4400K .......... .......... .......... .......... ..........  9% 86.3M 4s
  4450K .......... .......... .......... .......... ..........  9% 99.6M 4s
  4500K .......... .......... .......... .......... ..........  9%  116M 4s
  4550K .......... .......... .......... .......... .......... 10% 96.3M 4s
  4600K .......... .......... .......... .......... .......... 10%  116M 4s
  4650K .......... .......... .......... .......... .......... 10%  101M 4s
  4700K .......... .......... .......... .......... .......... 10% 30.5M 4s
  4750K .......... .......... .......... .......... .......... 10% 50.7M 4s
  4800K .......... .......... .......... .......... .......... 10% 86.8M 3s
  4850K .......... .......... .......... .......... .......... 10% 94.8M 3s
  4900K .......... .......... .......... .......... .......... 10% 88.1M 3s
  4950K .......... .......... .......... .......... .......... 10% 26.5M 3s
  5000K .......... .......... .......... .......... .......... 11% 91.8M 3s
  5050K .......... .......... .......... .......... .......... 11% 90.1M 3s
  5100K .......... .......... .......... .......... .......... 11% 89.2M 3s
  5150K .......... .......... .......... .......... .......... 11% 65.4M 3s
  5200K .......... .......... .......... .......... .......... 11% 79.7M 3s
  5250K .......... .......... .......... .......... .......... 11% 84.2M 3s
  5300K .......... .......... .......... .......... .......... 11% 78.1M 3s
  5350K .......... .......... .......... .......... .......... 11%  125M 3s
  5400K .......... .......... .......... .......... .......... 11%  159M 3s
  5450K .......... .......... .......... .......... .......... 12%  161M 3s
  5500K .......... .......... .......... .......... .......... 12%  162M 3s
  5550K .......... .......... .......... .......... .......... 12%  142M 3s
  5600K .......... .......... .......... .......... .......... 12%  171M 3s
  5650K .......... .......... .......... .......... .......... 12%  137M 3s
  5700K .......... .......... .......... .......... .......... 12%  163M 3s
  5750K .......... .......... .......... .......... .......... 12%  145M 3s
  5800K .......... .......... .......... .......... .......... 12%  157M 3s
  5850K .......... .......... .......... .......... .......... 12% 2.11M 3s
  5900K .......... .......... .......... .......... .......... 12%  138M 3s
  5950K .......... .......... .......... .......... .......... 13%  120M 3s
  6000K .......... .......... .......... .......... .......... 13%  108M 3s
  6050K .......... .......... .......... .......... .......... 13%  105M 3s
  6100K .......... .......... .......... .......... .......... 13%  116M 3s
  6150K .......... .......... .......... .......... .......... 13%  124M 3s
  6200K .......... .......... .......... .......... .......... 13% 72.2M 3s
  6250K .......... .......... .......... .......... .......... 13%  138M 3s
  6300K .......... .......... .......... .......... .......... 13%  118M 3s
  6350K .......... .......... .......... .......... .......... 13%  102M 3s
  6400K .......... .......... .......... .......... .......... 14%  163M 3s
  6450K .......... .......... .......... .......... .......... 14%  128M 3s
  6500K .......... .......... .......... .......... .......... 14% 97.5M 3s
  6550K .......... .......... .......... .......... .......... 14%  112M 3s
  6600K .......... .......... .......... .......... .......... 14%  117M 3s
  6650K .......... .......... .......... .......... .......... 14%  111M 3s
  6700K .......... .......... .......... .......... .......... 14%  113M 3s
  6750K .......... .......... .......... .......... .......... 14%  117M 3s
  6800K .......... .......... .......... .......... .......... 14%  109M 3s
  6850K .......... .......... .......... .......... .......... 15%  102M 3s
  6900K .......... .......... .......... .......... .......... 15%  121M 3s
  6950K .......... .......... .......... .......... .......... 15%  118M 3s
  7000K .......... .......... .......... .......... .......... 15%  101M 3s
  7050K .......... .......... .......... .......... .......... 15% 47.4M 2s
  7100K .......... .......... .......... .......... .......... 15% 80.8M 2s
  7150K .......... .......... .......... .......... .......... 15% 64.1M 2s
