--2024-04-01 22:30:01--  http://ftp.ru.debian.org/debian/indices/files/typical.files
Resolving ftp.ru.debian.org (ftp.ru.debian.org)... 85.143.112.112
Connecting to ftp.ru.debian.org (ftp.ru.debian.org)|85.143.112.112|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 51443553 (49M) [application/octet-stream]
Saving to: ‘Dump/typical.files’

     0K .......... .......... .......... .......... ..........  0%  452K 1m51s
    50K .......... .......... .......... .......... ..........  0%  892K 84s
   100K .......... .......... .......... .......... ..........  0%  103M 56s
   150K .......... .......... .......... .......... ..........  0%  907K 56s
   200K .......... .......... .......... .......... ..........  0% 25.7M 45s
   250K .......... .......... .......... .......... ..........  0% 25.1M 38s
   300K .......... .......... .......... .......... ..........  0% 21.5M 33s
   350K .......... .......... .......... .......... ..........  0% 1.04M 34s
   400K .......... .......... .......... .......... ..........  0% 80.7M 31s
   450K .......... .......... .......... .......... ..........  0% 96.2M 28s
   500K .......... .......... .......... .......... ..........  1% 95.9M 25s
   550K .......... .......... .......... .......... ..........  1% 79.9M 23s
   600K .......... .......... .......... .......... ..........  1% 97.4M 21s
   650K .......... .......... .......... .......... ..........  1%  100M 20s
   700K .......... .......... .......... .......... ..........  1% 1008K 22s
   750K .......... .......... .......... .......... ..........  1% 39.2M 20s
   800K .......... .......... .......... .......... ..........  1%  111M 19s
   850K .......... .......... .......... .......... ..........  1%  142M 18s
   900K .......... .......... .......... .......... ..........  1%  134M 17s
   950K .......... .......... .......... .......... ..........  1%  140M 16s
  1000K .......... .......... .......... .......... ..........  2%  126M 16s
  1050K .......... .......... .......... .......... ..........  2%  124M 15s
  1100K .......... .......... .......... .......... ..........  2%  149M 14s
  1150K .......... .......... .......... .......... ..........  2%  133M 14s
  1200K .......... .......... .......... .......... ..........  2%  121M 13s
  1250K .......... .......... .......... .......... ..........  2%  140M 13s
  1300K .......... .......... .......... .......... ..........  2%  146M 12s
  1350K .......... .......... .......... .......... ..........  2%  111M 12s
  1400K .......... .......... .......... .......... ..........  2%  128M 11s
  1450K .......... .......... .......... .......... ..........  2% 1.03M 12s
  1500K .......... .......... .......... .......... ..........  3% 78.8M 12s
  1550K .......... .......... .......... .......... ..........  3%  117M 12s
  1600K .......... .......... .......... .......... ..........  3%  103M 11s
  1650K .......... .......... .......... .......... ..........  3%  128M 11s
  1700K .......... .......... .......... .......... ..........  3%  120M 11s
  1750K .......... .......... .......... .......... ..........  3%  117M 10s
  1800K .......... .......... .......... .......... ..........  3%  100M 10s
  1850K .......... .......... .......... .......... ..........  3%  101M 10s
  1900K .......... .......... .......... .......... ..........  3%  134M 10s
  1950K .......... .......... .......... .......... ..........  3%  127M 9s
  2000K .......... .......... .......... .......... ..........  4%  104M 9s
  2050K .......... .......... .......... .......... ..........  4%  108M 9s
  2100K .......... .......... .......... .......... ..........  4% 91.6M 9s
  2150K .......... .......... .......... .......... ..........  4%  134M 8s
  2200K .......... .......... .......... .......... ..........  4%  105M 8s
  2250K .......... .......... .......... .......... ..........  4%  118M 8s
  2300K .......... .......... .......... .......... ..........  4%  117M 8s
  2350K .......... .......... .......... .......... ..........  4%  116M 8s
  2400K .......... .......... .......... .......... ..........  4%  112M 8s
  2450K .......... .......... .......... .......... ..........  4% 95.0M 7s
  2500K .......... .......... .......... .......... ..........  5% 39.8M 7s
  2550K .......... .......... .......... .......... ..........  5%  121M 7s
  2600K .......... .......... .......... .......... ..........  5%  136M 7s
  2650K .......... .......... .......... .......... ..........  5%  112M 7s
  2700K .......... .......... .......... .......... ..........  5%  132M 7s
  2750K .......... .......... .......... .......... ..........  5%  122M 7s
  2800K .......... .......... .......... .......... ..........  5%  143M 7s
  2850K .......... .......... .......... .......... ..........  5%  126M 6s
  2900K .......... .......... .......... .......... ..........  5% 1.20M 7s
  2950K .......... .......... .......... .......... ..........  5%  106M 7s
  3000K .......... .......... .......... .......... ..........  6%  121M 7s
  3050K .......... .......... .......... .......... ..........  6%  113M 7s
  3100K .......... .......... .......... .......... ..........  6%  107M 7s
  3150K .......... .......... .......... .......... ..........  6%  118M 6s
  3200K .......... .......... .......... .......... ..........  6% 64.8M 6s
  3250K .......... .......... .......... .......... ..........  6% 53.8M 6s
  3300K .......... .......... .......... .......... ..........  6%  107M 6s
  3350K .......... .......... .......... .......... ..........  6%  118M 6s
  3400K .......... .......... .......... .......... ..........  6%  134M 6s
  3450K .......... .......... .......... .......... ..........  6%  128M 6s
  3500K .......... .......... .......... .......... ..........  7%  102M 6s
  3550K .......... .......... .......... .......... ..........  7%  118M 6s
  3600K .......... .......... .......... .......... ..........  7%  139M 6s
  3650K .......... .......... .......... .......... ..........  7%  113M 6s
  3700K .......... .......... .......... .......... ..........  7%  105M 5s
  3750K .......... .......... .......... .......... ..........  7%  122M 5s
  3800K .......... .......... .......... .......... ..........  7%  133M 5s
  3850K .......... .......... .......... .......... ..........  7%  124M 5s
  3900K .......... .......... .......... .......... ..........  7%  114M 5s
