--2024-03-29 16:30:09--  http://ftp.ru.debian.org/debian/indices/Maintainers
Resolving ftp.ru.debian.org (ftp.ru.debian.org)... 85.143.112.112
Connecting to ftp.ru.debian.org (ftp.ru.debian.org)|85.143.112.112|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 9688362 (9.2M) [application/octet-stream]
Saving to: ‘Dump/Maintainers’

     0K .......... .......... .......... .......... ..........  0%  468K 20s
    50K .......... .......... .......... .......... ..........  1%  907K 15s
   100K .......... .......... .......... .......... ..........  1% 10.8M 10s
   150K .......... .......... .......... .......... ..........  2% 86.6M 8s
   200K .......... .......... .......... .......... ..........  2%  876K 8s
   250K .......... .......... .......... .......... ..........  3% 85.0M 7s
   300K .......... .......... .......... .......... ..........  3% 76.1M 6s
   350K .......... .......... .......... .......... ..........  4% 95.7M 5s
   400K .......... .......... .......... .......... ..........  4%  992K 6s
   450K .......... .......... .......... .......... ..........  5% 69.6M 5s
   500K .......... .......... .......... .......... ..........  5% 87.1M 4s
   550K .......... .......... .......... .......... ..........  6% 78.6M 4s
   600K .......... .......... .......... .......... ..........  6% 89.4M 4s
   650K .......... .......... .......... .......... ..........  7% 74.6M 3s
   700K .......... .......... .......... .......... ..........  7% 87.3M 3s
   750K .......... .......... .......... .......... ..........  8% 82.9M 3s
   800K .......... .......... .......... .......... ..........  8% 94.0M 3s
   850K .......... .......... .......... .......... ..........  9% 1.02M 3s
   900K .......... .......... .......... .......... .......... 10% 84.4M 3s
   950K .......... .......... .......... .......... .......... 10%  122M 3s
  1000K .......... .......... .......... .......... .......... 11%  113M 3s
  1050K .......... .......... .......... .......... .......... 11%  140M 3s
  1100K .......... .......... .......... .......... .......... 12%  102M 2s
  1150K .......... .......... .......... .......... .......... 12%  103M 2s
  1200K .......... .......... .......... .......... .......... 13% 56.9M 2s
  1250K .......... .......... .......... .......... .......... 13%  102M 2s
  1300K .......... .......... .......... .......... .......... 14%  141M 2s
  1350K .......... .......... .......... .......... .......... 14%  139M 2s
  1400K .......... .......... .......... .......... .......... 15%  119M 2s
  1450K .......... .......... .......... .......... .......... 15%  133M 2s
  1500K .......... .......... .......... .......... .......... 16%  140M 2s
  1550K .......... .......... .......... .......... .......... 16%  127M 2s
  1600K .......... .......... .......... .......... .......... 17%  127M 2s
  1650K .......... .......... .......... .......... .......... 17%  109M 2s
  1700K .......... .......... .......... .......... .......... 18%  110M 1s
  1750K .......... .......... .......... .......... .......... 19% 1.08M 2s
  1800K .......... .......... .......... .......... .......... 19% 67.4M 2s
  1850K .......... .......... .......... .......... .......... 20%  116M 2s
  1900K .......... .......... .......... .......... .......... 20%  119M 1s
  1950K .......... .......... .......... .......... .......... 21%  134M 1s
  2000K .......... .......... .......... .......... .......... 21% 98.3M 1s
  2050K .......... .......... .......... .......... .......... 22%  122M 1s
  2100K .......... .......... .......... .......... .......... 22%  123M 1s
  2150K .......... .......... .......... .......... .......... 23%  124M 1s
  2200K .......... .......... .......... .......... .......... 23%  104M 1s
  2250K .......... .......... .......... .......... .......... 24%  122M 1s
  2300K .......... .......... .......... .......... .......... 24%  117M 1s
  2350K .......... .......... .......... .......... .......... 25%  111M 1s
  2400K .......... .......... .......... .......... .......... 25%  131M 1s
  2450K .......... .......... .......... .......... .......... 26%  135M 1s
  2500K .......... .......... .......... .......... .......... 26%  107M 1s
  2550K .......... .......... .......... .......... .......... 27%  114M 1s
  2600K .......... .......... .......... .......... .......... 28%  120M 1s
  2650K .......... .......... .......... .......... .......... 28% 96.3M 1s
  2700K .......... .......... .......... .......... .......... 29%  116M 1s
  2750K .......... .......... .......... .......... .......... 29% 88.6M 1s
  2800K .......... .......... .......... .......... .......... 30%  114M 1s
  2850K .......... .......... .......... .......... .......... 30%  120M 1s
  2900K .......... .......... .......... .......... .......... 31%  121M 1s
  2950K .......... .......... .......... .......... .......... 31%  124M 1s
  3000K .......... .......... .......... .......... .......... 32%  119M 1s
  3050K .......... .......... .......... .......... .......... 32%  107M 1s
  3100K .......... .......... .......... .......... .......... 33%  123M 1s
  3150K .......... .......... .......... .......... .......... 33%  104M 1s
  3200K .......... .......... .......... .......... .......... 34%  121M 1s
  3250K .......... .......... .......... .......... .......... 34% 92.3M 1s
  3300K .......... .......... .......... .......... .......... 35%  134M 1s
  3350K .......... .......... .......... .......... .......... 35% 42.6M 1s
  3400K .......... .......... .......... .......... .......... 36% 56.4M 1s
  3450K .......... .......... .......... .......... .......... 36%  136M 1s
  3500K .......... .......... .......... .......... .......... 37%  145M 1s
  3550K .......... .......... .......... .......... .......... 38%  149M 1s
  3600K .......... .......... .......... .......... .......... 38% 1.32M 1s
  3650K .......... .......... .......... .......... .......... 39%  112M 1s
  3700K .......... .......... .......... .......... .......... 39% 93.9M 1s
  3750K .......... .......... .......... .......... .......... 40%  117M 1s
  3800K .......... .......... .......... .......... .......... 40%  117M 1s
  3850K .......... .......... .......... .......... .......... 41%  118M 1s
  3900K .......... .......... .......... .......... .......... 41%  119M 1s
  3950K .......... .......... .......... .......... .......... 42%  122M 1s
  4000K .......... .......... .......... .......... .......... 42% 93.7M 1s
  4050K .......... .......... .......... .......... .......... 43%  129M 1s
  4100K .......... .......... .......... .......... .......... 43%  120M 1s
  4150K .......... .......... .......... .......... .......... 44%  126M 1s
  4200K .......... .......... .......... .......... .......... 44%  104M 1s
  4250K .......... .......... .......... .......... .......... 45%  118M 1s
  4300K .......... .......... .......... .......... .......... 45%  121M 1s
  4350K .......... .......... .......... .......... .......... 46% 95.4M 1s
  4400K .......... .......... .......... .......... .......... 47%  105M 0s
  4450K .......... .......... .......... .......... .......... 47% 89.4M 0s
