--2024-03-28 09:05:01--  http://ftp.ru.debian.org/debian/indices/files/typical.files
Resolving ftp.ru.debian.org (ftp.ru.debian.org)... 85.143.112.112
Connecting to ftp.ru.debian.org (ftp.ru.debian.org)|85.143.112.112|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 51270436 (49M) [application/octet-stream]
Saving to: ‘Dump/typical.files’

     0K .......... .......... .......... .......... ..........  0%  513K 97s
    50K .......... .......... .......... .......... ..........  0% 1.00M 73s
   100K .......... .......... .......... .......... ..........  0% 79.3M 49s
   150K .......... .......... .......... .......... ..........  0% 88.7M 37s
   200K .......... .......... .......... .......... ..........  0% 1.06M 39s
   250K .......... .......... .......... .......... ..........  0%  128M 32s
   300K .......... .......... .......... .......... ..........  0% 47.7M 28s
   350K .......... .......... .......... .......... ..........  0%  186M 24s
   400K .......... .......... .......... .......... ..........  0% 1.04M 27s
   450K .......... .......... .......... .......... ..........  0% 68.0M 24s
   500K .......... .......... .......... .......... ..........  1%  130M 22s
   550K .......... .......... .......... .......... ..........  1%  111M 20s
   600K .......... .......... .......... .......... ..........  1% 90.0M 19s
   650K .......... .......... .......... .......... ..........  1%  120M 17s
   700K .......... .......... .......... .......... ..........  1%  113M 16s
   750K .......... .......... .......... .......... ..........  1%  135M 15s
   800K .......... .......... .......... .......... ..........  1%  103M 14s
   850K .......... .......... .......... .......... ..........  1% 1.12M 16s
   900K .......... .......... .......... .......... ..........  1% 82.2M 15s
   950K .......... .......... .......... .......... ..........  1%  126M 14s
  1000K .......... .......... .......... .......... ..........  2%  134M 14s
  1050K .......... .......... .......... .......... ..........  2% 98.7M 13s
  1100K .......... .......... .......... .......... ..........  2%  136M 12s
  1150K .......... .......... .......... .......... ..........  2%  111M 12s
  1200K .......... .......... .......... .......... ..........  2%  112M 11s
  1250K .......... .......... .......... .......... ..........  2%  108M 11s
  1300K .......... .......... .......... .......... ..........  2%  108M 11s
  1350K .......... .......... .......... .......... ..........  2% 94.6M 10s
  1400K .......... .......... .......... .......... ..........  2%  129M 10s
  1450K .......... .......... .......... .......... ..........  2%  135M 10s
  1500K .......... .......... .......... .......... ..........  3% 92.4M 9s
  1550K .......... .......... .......... .......... ..........  3%  131M 9s
  1600K .......... .......... .......... .......... ..........  3%  110M 9s
  1650K .......... .......... .......... .......... ..........  3% 94.4M 8s
  1700K .......... .......... .......... .......... ..........  3%  125M 8s
  1750K .......... .......... .......... .......... ..........  3% 1.24M 9s
  1800K .......... .......... .......... .......... ..........  3% 49.4M 9s
  1850K .......... .......... .......... .......... ..........  3% 83.4M 9s
  1900K .......... .......... .......... .......... ..........  3%  119M 8s
  1950K .......... .......... .......... .......... ..........  3%  147M 8s
  2000K .......... .......... .......... .......... ..........  4%  111M 8s
  2050K .......... .......... .......... .......... ..........  4% 87.5M 8s
  2100K .......... .......... .......... .......... ..........  4%  137M 8s
  2150K .......... .......... .......... .......... ..........  4% 96.9M 7s
  2200K .......... .......... .......... .......... ..........  4%  115M 7s
  2250K .......... .......... .......... .......... ..........  4%  113M 7s
  2300K .......... .......... .......... .......... ..........  4% 86.9M 7s
  2350K .......... .......... .......... .......... ..........  4%  118M 7s
  2400K .......... .......... .......... .......... ..........  4%  128M 7s
  2450K .......... .......... .......... .......... ..........  4%  138M 7s
  2500K .......... .......... .......... .......... ..........  5%  102M 6s
  2550K .......... .......... .......... .......... ..........  5%  103M 6s
  2600K .......... .......... .......... .......... ..........  5%  131M 6s
  2650K .......... .......... .......... .......... ..........  5%  108M 6s
  2700K .......... .......... .......... .......... ..........  5%  104M 6s
  2750K .......... .......... .......... .......... ..........  5%  119M 6s
  2800K .......... .......... .......... .......... ..........  5%  127M 6s
  2850K .......... .......... .......... .......... ..........  5%  103M 6s
  2900K .......... .......... .......... .......... ..........  5%  118M 6s
  2950K .......... .......... .......... .......... ..........  5% 38.3M 5s
  3000K .......... .......... .......... .......... ..........  6%  147M 5s
  3050K .......... .......... .......... .......... ..........  6%  136M 5s
  3100K .......... .......... .......... .......... ..........  6%  123M 5s
  3150K .......... .......... .......... .......... ..........  6%  108M 5s
  3200K .......... .......... .......... .......... ..........  6%  144M 5s
  3250K .......... .......... .......... .......... ..........  6%  112M 5s
  3300K .......... .......... .......... .......... ..........  6%  127M 5s
  3350K .......... .......... .......... .......... ..........  6%  118M 5s
  3400K .......... .......... .......... .......... ..........  6%  139M 5s
  3450K .......... .......... .......... .......... ..........  6%  138M 5s
  3500K .......... .......... .......... .......... ..........  7%  177M 5s
  3550K .......... .......... .......... .......... ..........  7% 1.34M 5s
  3600K .......... .......... .......... .......... ..........  7%  167M 5s
  3650K .......... .......... .......... .......... ..........  7%  199M 5s
  3700K .......... .......... .......... .......... ..........  7%  178M 5s
  3750K .......... .......... .......... .......... ..........  7%  188M 5s
  3800K .......... .......... .......... .......... ..........  7%  132M 5s
  3850K .......... .......... .......... .......... ..........  7%  251M 5s
  3900K .......... .......... .......... .......... ..........  7%  256M 5s
  3950K .......... .......... .......... .......... ..........  7%  260M 4s
  4000K .......... .......... .......... .......... ..........  8%  240M 4s
  4050K .......... .......... .......... .......... ..........  8%  301M 4s
  4100K .......... .......... .......... .......... ..........  8%  258M 4s
  4150K .......... .......... .......... .......... ..........  8%  322M 4s
  4200K .......... .......... .......... .......... ..........  8%  223M 4s
  4250K .......... .......... .......... .......... ..........  8%  317M 4s
  4300K .......... .......... .......... .......... ..........  8%  280M 4s
  4350K .......... .......... .......... .......... ..........  8%  308M 4s
  4400K .......... .......... .......... .......... ..........  8%  266M 4s
  4450K .......... .......... .......... .......... ..........  8%  290M 4s
  4500K .......... .......... .......... .......... ..........  9%  335M 4s
  4550K .......... .......... .......... .......... ..........  9%  194M 4s
  4600K .......... .......... .......... .......... ..........  9%  113M 4s
  4650K .......... .......... .......... .......... ..........  9%  121M 4s
  4700K .......... .......... .......... .......... ..........  9%  106M 4s
  4750K .......... .......... .......... .......... ..........  9% 99.6M 4s
  4800K .......... .......... .......... .......... ..........  9%  134M 4s
  4850K .......... .......... .......... .......... ..........  9%  106M 4s
  4900K .......... .......... .......... .......... ..........  9% 97.5M 4s
  4950K .......... .......... .......... .......... ..........  9%  109M 4s
  5000K .......... .......... .......... .......... .......... 10%  119M 4s
